"id","city","state","lat","long"
1,"Prairie Ridge","WA","47.1443","-122.1408"
2,"Edison","WA","48.5602","-122.4311"
3,"Packwood","WA","46.6085","-121.6702"
4,"Wautauga Beach","WA","47.5862","-122.5482"
5,"Harper","WA","47.5207","-122.5196"
6,"Telma","WA","47.8432","-120.8157"
7,"Kahlotus","WA","46.6437","-118.5565"
8,"Mondovi","WA","47.6813","-118.0164"
9,"Washtucna","WA","46.7540","-118.3106"
10,"Pleasant Hill","WA","47.6154","-121.9096"
11,"Toledo","WA","46.4412","-122.8493"
12,"Wabash","WA","47.2429","-122.0576"
13,"Renton","WA","47.4758","-122.1905"
14,"Chehalis","WA","46.6637","-122.9647"
15,"Marcellus","WA","47.2335","-118.4053"
16,"Central Valley","WA","47.6632","-122.6499"
17,"Ralston","WA","46.9838","-118.3427"
18,"Lake City","WA","47.1487","-122.5512"
19,"Megler","WA","46.2509","-123.8576"
20,"Alder","WA","46.7872","-122.2666"
21,"Goose Prairie","WA","46.8951","-121.2670"
22,"Belvedere","WA","48.0499","-118.9850"
23,"Waverly","WA","47.3381","-117.2313"
24,"Turner Corner","WA","47.8045","-122.1435"
25,"Lofall","WA","47.8114","-122.6563"
26,"Kennydale","WA","47.5207","-122.2068"
27,"Easton","WA","47.2405","-121.1733"
28,"Navy Yard City","WA","47.5508","-122.6655"
29,"Mercer Island","WA","47.5625","-122.2265"
30,"Lynnwood","WA","47.8285","-122.3034"
31,"Coulee City","WA","47.6120","-119.2892"
32,"Douglas","WA","47.6212","-120.0048"
33,"Centralia","WA","46.7226","-122.9695"
34,"Colbert","WA","47.8266","-117.3419"
35,"Bryn Mawr","WA","47.5034","-122.2329"
36,"Silverdale","WA","47.6663","-122.6828"
37,"Lyle","WA","45.6956","-121.2805"
38,"Malott","WA","48.2919","-119.6955"
39,"Mountlake Terrace","WA","47.7920","-122.3076"
40,"Ilwaco","WA","46.3108","-124.0422"
41,"Fairwood","WA","47.4467","-122.1430"
42,"Warm Beach","WA","48.1649","-122.3442"
43,"Thomas","WA","47.3537","-122.2290"
44,"Parker","WA","46.5022","-120.4668"
45,"Steptoe","WA","47.0075","-117.3502"
46,"Vail","WA","46.8451","-122.6562"
47,"Magnolia Beach","WA","47.3820","-122.4832"
48,"Lakeview","WA","47.1593","-122.4982"
49,"Shaw Island","WA","48.5843","-122.9291"
50,"Oakesdale","WA","47.1305","-117.2465"
51,"Rosburg","WA","46.3076","-123.6344"
52,"Seattle","WA","47.6211","-122.3244"
53,"Onalaska","WA","46.5783","-122.7112"
54,"George","WA","47.0846","-119.8598"
55,"Index","WA","47.8212","-121.5556"
56,"Winchester","WA","47.2490","-119.7198"
57,"Chelatchie","WA","45.9279","-122.3795"
58,"Allentown","WA","47.4943","-122.2762"
59,"Novelty","WA","47.7090","-121.9846"
60,"Rosalia","WA","47.2363","-117.3770"
61,"Richmond Beach","WA","47.7695","-122.3901"
62,"Lakota","WA","47.3329","-122.3723"
63,"Liberty Lake","WA","47.6687","-117.1032"
64,"Airway Heights","WA","47.6459","-117.5792"
65,"Reardan","WA","47.6698","-117.8778"
66,"Farmer","WA","47.6126","-119.8120"
67,"Brier","WA","47.7922","-122.2734"
68,"Robe","WA","48.0973","-121.8135"
69,"Elk Plain","WA","47.0448","-122.3671"
70,"Port Townsend","WA","48.1220","-122.7872"
71,"Ocean City","WA","47.0762","-124.1619"
72,"Boulevard Park","WA","47.5135","-122.3159"
73,"Newhalem","WA","48.6737","-121.2473"
74,"Ford","WA","47.9082","-117.8058"
75,"Waterville","WA","47.6480","-120.0707"
76,"Quinault","WA","47.4670","-123.8455"
77,"Humptulips","WA","47.2491","-123.9348"
78,"Hamilton","WA","48.5282","-121.9834"
79,"Oak Harbor","WA","48.2965","-122.6330"
80,"Naches","WA","46.7274","-120.6945"
81,"Hooper","WA","46.7749","-118.1486"
82,"Anacortes","WA","48.4878","-122.6292"
83,"Kettle Falls","WA","48.6055","-118.0620"
84,"Walnut Grove","WA","45.6769","-122.6072"
85,"Salkum","WA","46.5321","-122.6259"
86,"Cunningham","WA","46.8221","-118.8064"
87,"Irby","WA","47.3593","-118.8511"
88,"Electric City","WA","47.9220","-119.0475"
89,"Burbank","WA","46.1991","-118.9728"
90,"Silver Lake","WA","46.2973","-122.8107"
91,"Dash Point","WA","47.3131","-122.4153"
92,"Pataha","WA","46.4732","-117.5366"
93,"Laurel","WA","45.9440","-121.3801"
94,"Woods Creek","WA","47.8821","-121.8982"
95,"McKenna","WA","46.9365","-122.5500"
96,"Revere","WA","47.0813","-117.9302"
97,"Kalama","WA","46.0171","-122.8393"
98,"Grandview","WA","46.2431","-119.9084"
99,"Winthrop","WA","48.4716","-120.1790"
100,"Maltby","WA","47.8027","-122.1044"
101,"Spangle","WA","47.4299","-117.3812"
102,"Blanchard","WA","48.5934","-122.4166"
103,"Artondale","WA","47.3023","-122.6398"
104,"May Creek","WA","47.8555","-121.6744"
105,"Home","WA","47.2790","-122.7744"
106,"Vashon","WA","47.4122","-122.4726"
107,"Snoqualmie Falls","WA","47.5398","-121.8098"
108,"Laurier","WA","48.9974","-118.2248"
109,"Quincy","WA","47.2345","-119.8520"
110,"Lake McMurray","WA","48.3129","-122.2317"
111,"Martha Lake","WA","47.8480","-122.2326"
112,"Ariel","WA","45.9568","-122.5709"
113,"Loon Lake","WA","48.0685","-117.6298"
114,"Thornton","WA","47.1207","-117.3896"
115,"Starbuck","WA","46.5183","-118.1247"
116,"Ronald","WA","47.2338","-121.0335"
117,"Kelso","WA","46.1248","-122.8908"
118,"Meadowdale","WA","47.8583","-122.3156"
119,"Cottage Lake","WA","47.7466","-122.0755"
120,"Cheney","WA","47.4902","-117.5789"
121,"Woodway","WA","47.7903","-122.3851"
122,"Lacey","WA","47.0450","-122.7931"
123,"Harrah","WA","46.4070","-120.5423"
124,"Allyn","WA","47.3863","-122.8386"
125,"South Bend","WA","46.6680","-123.8008"
126,"Barstow","WA","48.7783","-118.1329"
127,"Tiger","WA","48.6916","-117.4077"
128,"Warden","WA","46.9681","-119.0515"
129,"Junction City","WA","46.9713","-123.7651"
130,"Blyn","WA","48.0131","-122.9897"
131,"Lakebay","WA","47.2570","-122.7585"
132,"Tahuya","WA","47.3712","-123.0557"
133,"Waukon","WA","47.5396","-117.8433"
134,"Kitsap Lake","WA","47.5829","-122.7085"
135,"Sultan","WA","47.8702","-121.8041"
136,"Plain","WA","47.7626","-120.6573"
137,"Tanner","WA","47.4813","-121.6922"
138,"Stehekin","WA","48.3093","-120.6565"
139,"Edmonds","WA","47.8114","-122.3533"
140,"North Hill","WA","47.4193","-122.3235"
141,"Zillah","WA","46.4083","-120.2718"
142,"Monse","WA","48.1413","-119.6778"
143,"Lake Forest Park","WA","47.7596","-122.2879"
144,"Chinook","WA","46.2755","-123.9425"
145,"Albion","WA","46.7916","-117.2511"
146,"Skykomish","WA","47.7103","-121.3584"
147,"Yakima","WA","46.5923","-120.5496"
148,"Pacific","WA","47.2610","-122.2507"
149,"Wishram","WA","45.6599","-120.9698"
150,"Cascade Valley","WA","47.1371","-119.3272"
151,"Cathcart","WA","47.8525","-122.1058"
152,"Brush Prairie","WA","45.7250","-122.5483"
153,"Amboy","WA","45.9122","-122.4795"
154,"Centerville","WA","45.7540","-120.9081"
155,"Verlot","WA","48.1002","-121.7679"
156,"Alstown","WA","47.5610","-119.9951"
157,"Synarep","WA","48.5210","-119.3309"
158,"Annapolis","WA","47.5476","-122.6207"
159,"Port Gamble","WA","47.8543","-122.5838"
160,"Eatonville","WA","46.8682","-122.2697"
161,"Similk Beach","WA","48.4479","-122.5779"
162,"Cougar","WA","46.0515","-122.2995"
163,"Eglon","WA","47.8626","-122.5146"
164,"Paterson","WA","45.9371","-119.6028"
165,"Tenino","WA","46.8537","-122.8607"
166,"Minnehaha","WA","45.6577","-122.6204"
167,"Raymond","WA","46.6838","-123.7381"
168,"Alger","WA","48.6176","-122.3369"
169,"Roy","WA","46.9971","-122.5423"
170,"Almira","WA","47.7105","-118.9369"
171,"Fragaria","WA","47.4640","-122.5312"
172,"Green Bluff","WA","47.8190","-117.2770"
173,"Woodmont Beach","WA","47.3615","-122.3121"
174,"Frances","WA","46.5423","-123.5049"
175,"Lynden","WA","48.9503","-122.4544"
176,"Clayton","WA","48.0012","-117.5611"
177,"Everson","WA","48.9123","-122.3510"
178,"White Swan","WA","46.3769","-120.7382"
179,"Camano","WA","48.1865","-122.4708"
180,"Cedar Grove","WA","47.4357","-122.0621"
181,"Winton","WA","47.7354","-120.7412"
182,"East Olympia","WA","46.9676","-122.8357"
183,"Sunset Beach","WA","47.2182","-122.5726"
184,"Belfair","WA","47.4512","-122.8473"
185,"Oso","WA","48.2836","-121.9238"
186,"Federal Way","WA","47.3090","-122.3359"
